WO,WD,LO,LD,Score,Date,Color
atharva,andy,alex,pietro,9,5/19/2022,
lucy,andy,alex,sophie,7,5/23/2022,
andy,lucy,sophie,alex,7,5/23/2022,
alex,andy,paul,sophie,2,5/24/2022,
andy,sophie,alex,lawler,3,5/26/2022,
sophie,andy,lawler,alex,5,5/26/2022,
paul,andy,max,pietro,9,5/27/2022,
alex,andy,eric,sophie,4,6/1/2022,
sophie,andy,alex,andonian,4,6/1/2022,
andonian,alex,andy,sophie,6,6/1/2022,
sophie,andy,andonian,alex,1,6/1/2022,
atharva,andy,eric,alex,4,6/2/2022,
andy,andy,alex,eric,4,6/2/2022,
max,pratik,andy,obed,6,6/6/2022,
obed,andy,pratik,max,7,6/6/2022,
alex,andy,max,pietro,8,6/7/2022,
andy,lawler,alex,lucy,2,6/21/2022,
lawler,andy,lucy,alex,5,6/21/2022,
alex,lawler,max,jake,6,6/21/2022,
lawler,alex,jake,max,3,6/21/2022,
alex,lawler,andy,jake,4,6/21/2022,
jake,andy,lawler,alex,5,6/21/2022,
jake,andy,alex,lawler,5,6/21/2022,
lucy,andy,alex,max,1,6/23/2022,
max,alex,andy,lucy,5,6/23/2022,
lucy,andy,max,alex,7,6/23/2022,
lucy,andy,alex,fabio,1,6/27/2022,b
fabio,alex,andy,lucy,9,6/27/2022,r
lucy,andy,fabio,alex,2,6/27/2022,b
alex,andy,max,fabio,3,6/27/2022,r
andy,alex,fabio,max,2,6/27/2022,r
alex,max,andy,lucy,9,6/27/2022,b
max,alex,lucy,andy,2,6/27/2022,b
alex,andy,paul,max,8,6/28/2022,r
alex,andy,lucy,max,2,6/28/2022,r
andy,alex,max,lucy,9,6/28/2022,r
lucy,andy,alex,max,2,6/29/2022,b
andy,lucy,max,alex,5,6/29/2022,b
alex,andy,max,pratik,2,7/6/2022,b
pratik,max,andy,alex,9,7/6/2022,r
alex,andy,pratik,max,1,7/6/2022,b
stefano,max,lucy,alex,2,7/6/2022,r
max,stefano,alex,lucy,4,7/6/2022,r
alex,stefano,max,lucy,9,7/6/2022,r
stefano,alex,lucy,max,8,7/6/2022,r
pratik,alex,fabio,lawler,5,7/7/2022,b
alex,pratik,lawler,fabio,3,7/7/2022,b
max,andy,pratik,alex,3,7/7/2022,r
andy,max,alex,pratik,6,7/7/2022,r
andy,sophie,alex,pratik,7,7/7/2022,r
sophie,andy,pratik,alex,1,7/7/2022,r
pratik,andy,fabio,lucy,4,7/8/2022,b
andy,pratik,lucy,fabio,2,7/8/2022,b
fabio,andy,pratik,lucy,3,7/8/2022,b
andy,fabio,lucy,pratik,6,7/8/2022,b
lucy,sophie,alex,pratik,7,7/11/2022,b
pratik,alex,sophie,lucy,4,7/11/2022,r
pratik,alex,lucy,sophie,6,7/11/2022,r
fabio,andy,sophie,max,3,7/11/2022,b
andy,fabio,max,sophie,5,7/11/2022,b
alex,andy,pratik,max,9,7/12/2022,r
andy,alex,max,pratik,5,7/12/2022,r
andy,lucy,alex,max,8,7/12/2022,r
lucy,andy,max,alex,9,7/12/2022,r
sophie,max,andy,lucy,6,7/13/2022,b
lucy,andy,max,sophie,8,7/13/2022,r
lucy,andy,sophie,max,9,7/13/2022,r
andy,sophie,alex,lawler,6,7/13/2022,r
sophie,andy,lawler,alex,3,7/13/2022,r
alex,pratik,lawler,fabio,3,7/13/2022,b
fabio,lawler,pratik,alex,8,7/13/2022,r
fabio,lawler,alex,pratik,4,7/13/2022,r
paul,andy,lucy,alex,1,7/14/2022,r
david,andy,max,alex,3,7/14/2022,b
